Parameter,Setting
Data Type:,Status and Intensity
Start Date:,2009-01-01
End Date:,2019-08-01
States:,
Species:,"blackeyed Susan (Rudbeckia hirta), Canada mayflower (Maianthemum canadense)"
Phenophase Categories:,Flowers
Output Fields:,"Dataset ID, ObservedBy Person ID, Submission ID, SubmittedBy Person ID, Submission Datetime, UpdatedBy Person ID, Update Datetime, Partner Group, Site Name, Species Functional Type, Species Category, USDA PLANTS Symbol, ITIS Number, Plant Nickname, Patch, Protocol ID, Phenophase Category, Phenophase Name, Phenophase Definition ID, Species-Specific Info ID, Observation Time, Site Visit ID, Observation Comments, Observed Status Conflict Flag, Status Conflict Related Records"
Partner Groups:,
Integrated Datasets:,
Stations:,
